contract,profile_id,sample_id,target,moon_policy,moon_elongation_deg,moon_candidate_nature,mercury_policy,special_aspect_scale,normalization_divisor,jhora_value_virupa,candidate_value_virupa,signed_residual_virupa,absolute_residual_virupa,pass_fail,notes
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,JUPITER,current,213.371359621,benefic,current,1.0,4.0,10.280000000,-25.105000000,35.385000000,35.385000000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,MARS,current,213.371359621,benefic,current,1.0,4.0,17.230000000,-1.730000000,18.960000000,18.960000000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,MERCURY,current,213.371359621,benefic,current,1.0,4.0,-4.330000000,-10.252500000,5.922500000,5.922500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,MOON,current,213.371359621,benefic,current,1.0,4.0,-0.610000000,10.357500000,-10.967500000,10.967500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,SATURN,current,213.371359621,benefic,current,1.0,4.0,3.450000000,-20.932500000,24.382500000,24.382500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,SUN,current,213.371359621,benefic,current,1.0,4.0,-12.450000000,-4.430000000,-8.020000000,8.020000000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_103_event_start,VENUS,current,213.371359621,benefic,current,1.0,4.0,3.450000000,-19.540000000,22.990000000,22.990000000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_127_sr_touch_start,JUPITER,current,21.762886868,malefic,current,1.0,4.0,-6.510000000,-16.632500000,10.122500000,10.122500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_127_sr_touch_start,MARS,current,21.762886868,malefic,current,1.0,4.0,-8.480000000,-3.497500000,-4.982500000,4.982500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
GANN_JHORA_DOCTRINE_RECONCILIATION_V1,current_dynamic_nature_range_special,case_127_sr_touch_start,MERCURY,current,21.762886868,malefic,current,1.0,4.0,-14.260000000,-16.322500000,2.062500000,2.062500000,fail,Sensitivity profile only. It cannot replace production Drik without an explicit doctrine decision.
